City,Koppen Code
Delhi,BSh
New Delhi,BSh
Hyderabad,BSh
Ahmedabad,BSh
Pune,BSh
Bombay,Aw
Bengaluru,Aw
Chennai,Aw
Kolkata,Aw
Vellore,Aw
Allahabad,Csa
Lucknow,Csa
Varanasi,Csa
Kanpur,Csa
Ranchi,Csa
Kalyan-Dombivili,Am
Ernakulam,Am
Ulhasnagar,Am
Mangalore,Am
Alappuzha,Am
Jodhpur,BWh
Bikaner,BWh
Sri Ganganagar,BWh
Gandhidham,BWh
Sirsa,BWh
Dibrugarh,Cfa
Mandi,Cfa
Kulu,Cfa
Sibsagar,Cfa
Tinsukia,Cfa
Siliguri,Cwa
Guwahati,Cwa
Aizawl,Cwa
Goalpara,Cwa
Kohima,Cwa
Shimla,Cfb
Mussoorie,Cfb
Theog,Cfb
Narkanda,Cfb
New Tehri,Cfb
Rānikhet,Csb
Almora,Csb
Kalpa,Csb
Majkhali,Csb
Kausani,Csb
Shillong,Cwb
Ooty,Cwb
Gangtok,Cwb
Tawang,Cwb
Devikulam,Cwb
Shey,BSk
Choglamsar,BSk
Spituk,BSk
Tangtse,BSk
Lukung,BSk
Pahalgām,Dfb
Kullan,Dfb
Sonamarg,Dfb
Badrinath,Dfb
Gulmarg,Dfb
Kaza,Dsb
Trespone,Dsb
Gemur,Dsb
Gramphoo,Dsb
Hango,Dsb
Sarchu,Dsc
Beas Kund,Dsc
Chikka,Dsc
Nyoma,Dsc
Nidar,Dsc
Leh,BWk
Hunder,BWk
Turtuk,BWk
Sumur,BWk
Chamsen,BWk
Karzok,Dfc
Kedarnath,Dfc
Dappal,Dfc
Garbyāng,Dfc
Tiling,Dfc
Chumikgiarsa,ET
Nuruchang (approx.),ET
Lungmoche,ET
Rong,ET
Bandarpunch,ET
Charisharief,Dfa
Chattergul,Dfa
Cherwan,Dfa
Kangan,Dfa
Margund,Dfa
Shastri Nagar,Af
Gandhi Nagar,Af
Laxmi Nagar,Af
Vijay Nagar,Af
Joginder Nagar,Af
Tawang,Dwb
Nyuri,Dwb
Kargil,Dsa
Migyitun,Dwc
